Equity,Sector,Qty,Value,%,Fund_Type,Fund_Name,Fund_Code,Time_Stamp
"Repco Home","Banking & Financial Services",63760,3.6,1.03,Midcap,"Sundaram Select Micro Cap-Sr 6-RP-G",MSN1045,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",34240,1.93,1.03,Midcap,"Sundaram Select Micro Cap-Sr 7-RP-G",MSN1049,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",34240,1.93,1.03,Midcap,"Sundaram Select Micro Cap-Sr 7-DP-G",MSN1051,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",25440,1.44,1.02,Midcap,"Sundaram Select Micro Cap-Sr 8-RP-G",MSN1180,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",25440,1.44,1.02,Midcap,"Sundaram Select Micro Cap-Sr 8-DP-G",MSN1182,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",15092,0.85,1.02,Midcap,"Sundaram Select Micro Cap-Sr 9-RP-G",MSN1185,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",15092,0.85,1.02,Midcap,"Sundaram Select Micro Cap-Sr 9-DP-G",MSN1187,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",9759,0.55,1.02,Midcap,"Sundaram Select Micro Cap-Sr 10-RP-G",MSN1199,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",9759,0.55,1.02,Midcap,"Sundaram Select Micro Cap-Sr 10-DP-G",MSN1201,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",43756,2.47,2.03,Midcap,"Sundaram Select Micro Cap-Sr 11-RP-G",MSN1292,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",43756,2.47,2.03,Midcap,"Sundaram Select Micro Cap-Sr 11-DP-G",MSN1294,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",32199,1.82,2.06,Midcap,"Sundaram Select Micro Cap-Sr 12-RP-G",MSN1300,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",32199,1.82,2.06,Midcap,"Sundaram Select Micro Cap-Sr 12-DP-G",MSN1302,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",35026,1.98,1.3,Midcap,"Sundaram Select Micro Cap-Sr 14-RP-G",MSN1324,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",35026,1.98,1.3,Midcap,"Sundaram Select Micro Cap-Sr 14-DP-G",MSN1326,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",33900,1.91,1.28,Midcap,"Sundaram Select Micro Cap-Sr 15-RP-G",MSN1341,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",21759,1.23,1.27,Midcap,"Sundaram Select Micro Cap-Sr 16-RP-G",MSN1357,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",14420,0.81,0.99,Midcap,"Sundaram Select Micro Cap-Sr 17-RP-G",MSN1361,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",14420,0.81,0.99,Midcap,"Sundaram Select Micro Cap-Sr 17-DP-G",MSN1363,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",28145,1.59,0.98,Banking,"Sundaram Fin-Serv. Opp.-RP (G)",MSN227,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",28145,1.59,0.98,Banking,"Sundaram Fin-Serv. Opp.-IP (G)",MSN229,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",28145,1.59,0.98,Banking,"Sundaram Fin-Serv Opp. -Direct (G)",MSN549,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",430000,24.28,1.02,Diversified,"Sundaram Rural India -Direct (G)",MSN574,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",23371,1.32,0.99,Midcap,"Sundaram Select Micro Cap-Sr 1-RP-G",MSN795,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",23371,1.32,0.99,Midcap,"Sundaram Select Micro Cap-Sr 1-DP-G",MSN797,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",15528,0.88,0.98,Midcap,"Sundaram Select Micro Cap-Sr 2-RP-G",MSN837,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",15528,0.88,0.98,Midcap,"Sundaram Select Micro Cap-Sr 2-DP-G",MSN839,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",0,0,0.98,Midcap,"Sundaram Select Micro Cap-Sr 3-RP-G",MSN841,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",9767,0.55,1,Midcap,"Sundaram Select Micro Cap-Sr 4-RP-G",MSN867,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",9767,0.55,1,Midcap,"Sundaram Select Micro Cap-Sr 4-DP-G",MSN869,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",505000,28.51,0.99,Diversified,"Franklin (I) Flexi Cap (G)",MTE078,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",3335705,188.33,2.64,Midcap,"Franklin (I) Smaller Cos (G)",MTE090,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",413934,23.37,0.68,ELSS,"Franklin (I) Tax Shield -Direct (G)",MTE311,"2018-03-28 00:00:00"
"Repco Home","Banking & Financial Services",3335705,188.33,2.64,Midcap,"Franklin (I) Smaller Co -Direct (G)",MTE313,"2018-03-28 00:00:00"
